"Reference","Value","MPN","Manufacturer","Package","Fn","EL_DEG","Z0_OHM","QUANTITY"
"C101-C107,C201-C207,C301-C307,C401-C407,C900,C903,C905,C907-C910","100nF","","","","TEMP anti alias,U902 decoupling,U903 decoupling,VDD bypass for U900,VDD bypass for one PE4259-63, single-pin control mode,VOUT anti alias,VPSI decoupling,VPSO decoupling","","","35"
"C901,C902","100pF","","","","INHI ac coupling,INLO ac coupling to ground","","","2"
"C904","1nF","","","","VPSI high frequency decoupling","","","1"
"C906","220pF","","","","loop filter, value provisional","","","1"
"J900","SMA_EL0","","","","element port 0: R1 and R2 per element access","","","1"
"J901","SMA_EL1","","","","element port 1: R1 and R2 per element access","","","1"
"J902","SMA_EL2","","","","element port 2: R1 and R2 per element access","","","1"
"J903","SMA_EL3","","","","element port 3: R1 and R2 per element access","","","1"
"J904","SMA_COMMON","","","","common port: analyser, or source in transmit","","","1"
"J905","NUCLEO_G0_IF","","","","interface to an STM32G0 Nucleo: 17 control lines, 2 converter returns, I2C, and the incoming 5 V and 3V3 rails","","","1"
"R101,R201,R301,R401","50R","","","","channel termination, holds the element at 50R when disabled","","","4"
"R900-R902","100R","","","","Wilkinson isolation resistor","","","3"
"R903","18k","","","","TADJ temperature compensation set resistor, value provisional","","","1"
"R904,R905","1k","","","","TEMP series to converter,VOUT series to converter","","","2"
"R906,R907","4k7","","","","I2C pull up","","","2"
"TL101,TL201,TL301,TL401","REF_45","","","","","0","50","4"
"TL102,TL202,TL302,TL402","DLY_45","","","","","45","50","4"
"TL103,TL203,TL303,TL403","REF_90","","","","","0","50","4"
"TL104,TL204,TL304,TL404","DLY_90","","","","","90","50","4"
"TL105,TL205,TL305,TL405","REF_180","","","","","0","50","4"
"TL106,TL206,TL306,TL406","DLY_180","","","","","180","50","4"
"TL901-TL906","QW_70R7","","","","","90","70.7","6"
"TP101,TP201,TP301,TP401","TP_RF_IN","","","","","","","4"
"TP102,TP202,TP302,TP402","TP_RF_OUT","","","","","","","4"
"TP900","TP_VOUT","","","","","","","1"
"TP901","TP_TEMP","","","","","","","1"
"TP902","TP_5V","","","","","","","1"
"TP903","TP_3V3","","","","","","","1"
"TP904","TP_GND","","","","","","","1"
"U101-U107,U201-U207,U301-U307,U401-U407,U900","PE4259-63","PE4259-63","","","180 degree bit, input selector,180 degree bit, output selector,45 degree bit, input selector,45 degree bit, output selector,90 degree bit, input selector,90 degree bit, output selector,channel enable: RF1 through, RF2 to 50R,measurement path select: analyser on RF1, detector on RF2","","","29"
"U901","AD8318","AD8318ACPZ","","","measurement mode: VOUT tied to VSET. ENBL to VPSI for normal operation","","","1"
"U902,U903","MCP9808","MCP9808T-E/MS","","","R4 sensor 1, sited by the phase shifting network, address 0x18,R4 sensor 2, sited by the detector, address 0x19","","","2"
